iter	Passed	Remaining
742	1151	398
743	1152	396
744	1153	394
745	1155	393
746	1156	391
747	1157	390
748	1159	388
749	1160	386
750	1162	385
751	1163	383
752	1164	382
753	1166	380
754	1167	378
755	1168	377
756	1169	375
757	1170	373
758	1171	372
759	1173	370
760	1174	368
761	1175	367
762	1176	365
763	1177	363
764	1179	362
765	1181	360
766	1182	359
767	1183	357
768	1184	355
769	1186	354
770	1187	352
771	1188	351
772	1190	349
773	1191	347
774	1192	346
775	1193	344
776	1195	343
777	1196	341
778	1197	339
779	1199	338
780	1200	336
781	1201	334
782	1203	333
783	1204	331
784	1205	330
785	1206	328
786	1207	326
787	1209	325
788	1210	323
789	1211	322
790	1213	320
791	1214	318
792	1215	317
793	1216	315
794	1217	314
795	1218	312
796	1219	310
797	1220	309
798	1222	307
799	1223	305
800	1225	304
801	1226	302
802	1227	301
803	1228	299
804	1229	297
805	1230	296
806	1231	294
807	1232	292
808	1233	291
809	1234	289
810	1236	288
811	1237	286
812	1238	284
813	1240	283
814	1241	281
815	1242	280
816	1243	278
817	1244	276
818	1245	275
819	1246	273
820	1247	272
821	1249	270
822	1250	268
823	1251	267
824	1253	265
825	1254	264
826	1255	262
827	1256	261
828	1257	259
829	1258	257
830	1259	256
831	1260	254
832	1261	252
833	1262	251
834	1263	249
835	1265	248
836	1268	247
837	1270	245
838	1271	243
839	1272	242
840	1273	240
841	1274	239
842	1275	237
843	1276	235
844	1277	234
845	1278	232
846	1280	231
847	1281	229
848	1282	228
849	1284	226
850	1285	225
851	1286	223
852	1287	221
853	1288	220
854	1289	218
855	1290	217
856	1291	215
857	1292	213
858	1294	212
859	1295	210
860	1296	209
861	1299	207
862	1300	206
863	1301	204
864	1302	203
865	1303	201
866	1304	200
867	1305	198
868	1306	196
869	1307	195
870	1309	193
871	1309	192
872	1311	190
873	1312	189
874	1314	187
875	1315	186
876	1316	184
877	1317	183
878	1318	181
879	1319	179
880	1320	178
881	1321	176
882	1322	175
883	1323	173
884	1324	172
885	1325	170
886	1327	169
887	1328	167
888	1330	166
889	1331	164
890	1332	162
891	1333	161
892	1334	159
893	1336	158
894	1337	156
895	1338	155
896	1339	153
897	1340	152
898	1341	150
899	1342	149
900	1343	147
901	1344	146
902	1345	144
903	1346	143
904	1347	141
905	1348	139
906	1349	138
907	1351	136
908	1352	135
909	1353	133
910	1354	132
911	1355	130
912	1356	129
913	1357	127
914	1358	126
915	1359	124
916	1360	123
917	1361	121
918	1362	120
919	1363	118
920	1364	117
921	1365	115
922	1366	114
923	1368	112
924	1369	111
925	1370	109
926	1371	107
927	1372	106
928	1374	105
929	1375	103
930	1376	102
931	1377	100
932	1378	99
933	1379	97
934	1380	95
935	1381	94
936	1383	92
937	1384	91
938	1385	89
939	1386	88
940	1387	86
941	1388	85
942	1389	83
943	1390	82
944	1391	80
945	1392	79
946	1393	78
947	1395	76
948	1395	75
949	1396	73
950	1397	72
951	1398	70
952	1399	69
953	1400	67
954	1402	66
955	1403	64
956	1404	63
957	1405	61
958	1406	60
959	1407	58
960	1408	57
961	1409	55
962	1411	54
963	1412	52
964	1414	51
965	1415	49
966	1416	48
967	1418	46
968	1419	45
969	1420	43
970	1423	42
971	1424	41
972	1425	39
973	1426	38
974	1427	36
975	1429	35
976	1431	33
977	1432	32
978	1433	30
979	1435	29
980	1436	27
981	1437	26
982	1438	24
983	1439	23
984	1441	21
985	1442	20
986	1444	19
987	1445	17
988	1446	16
989	1447	14
990	1449	13
991	1450	11
992	1451	10
993	1452	8
994	1454	7
995	1455	5
996	1457	4
997	1458	2
998	1460	1
999	1462	0
